,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Kloulklubed,PW,301.83,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
559,Sarangani,PH,301.51,overcast clouds,5.4033,125.4636,Ballistic Islet
565,Mopti,ML,303.66,scattered clouds,14.6667,-4.0,
582,Guanaja,HN,302.04,overcast clouds,16.4,-85.9,Hotel Dunbar Rock Guanaja Honduras
591,Pochutla,MX,300.27,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
592,San Antonio,US,300.71,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
602,Manuk Mangkaw,PH,301.23,scattered clouds,4.8,119.85,
605,Zabid,YE,301.59,clear sky,14.1951,43.3152,دار الضيافة
608,Gizo,SB,302.13,light rain,-8.103,156.8419,Imagination Island
610,Ambunti,PG,304.04,overcast clouds,-4.2365,142.8448,Ambunti Lodge
621,Buala,SB,302.64,light rain,-8.145,159.5921,Maringe Lagoon Lodge
641,Yulara,AU,301.28,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
642,Pangkalanbuun,ID,302.85,light rain,-2.6833,111.6167,Grand Kecubung Hotel
643,Cockburn Town,TC,300.13,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
653,Kununurra,AU,305.14,broken clouds,-15.7667,128.7333,Hotel Kununurra
656,Koungheul,SN,300.6,broken clouds,13.9833,-14.8,
662,Andros Town,BS,300.84,overcast clouds,24.7,-77.7667,Hanks place
688,San Miguelito,PA,301.23,overcast clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
690,Ahuimanu,US,300.67,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
692,Umm Kaddadah,SD,300.84,clear sky,13.6017,26.6876,
