,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Tarko-Sale,RU,64.9225,77.785,267.91,89,41,6.67,scattered clouds
350,Puerto Colombia,CO,10.9878,-74.9547,300.2,79,83,5.13,broken clouds
351,Soyo,AO,-6.1349,12.3689,298.13,83,95,3.87,overcast clouds
352,Uvalde,US,29.3669,-99.767,301.22,47,1,1.54,clear sky
353,Kumba,CM,4.6363,9.4469,295.61,97,100,0.5,overcast clouds
354,Galesong,ID,-5.3166,119.3661,300.16,67,60,1.99,broken clouds
355,Nosy Varika,MG,-20.5833,48.5333,297.24,91,65,4.37,light rain
356,Portland,US,45.5234,-122.6762,286.58,74,92,2.24,overcast clouds
357,Sitka,US,57.0531,-135.33,280.28,77,100,2.64,overcast clouds
358,Dunedin,NZ,-45.8742,170.5036,289.23,72,100,3.02,overcast clouds
359,Mongo,TD,12.1844,18.693,301.66,34,15,1.34,few clouds
360,Moffat,GB,55.3323,-3.4454,284.24,94,81,5.01,broken clouds
361,Shache,CN,38.4167,77.2406,280.52,38,100,1.04,overcast clouds
362,Vao,NC,-22.6667,167.4833,294.62,69,17,4.5,few clouds
363,Lohr,DE,49.9936,9.5783,279.94,91,0,0.68,clear sky
364,San Patricio,US,28.017,-97.5169,300.31,78,0,5.4,clear sky
365,Saquarema,BR,-22.92,-42.5103,296.16,92,100,5.56,light rain
366,Burnie,AU,-41.0667,145.9167,289.23,33,4,3.13,clear sky
367,Finsterwalde,DE,51.6333,13.7167,280.88,67,6,3.46,clear sky
368,Aksu,CN,41.1231,80.2644,280.2,48,0,0.97,clear sky
369,Batsfjord,NO,70.6345,29.7185,270.43,79,15,2.33,few clouds
370,Comodoro Rivadavia,AR,-45.8667,-67.5,288.07,44,100,19.55,overcast clouds
371,Mpika,ZM,-11.8343,31.4529,292.51,45,98,3.57,overcast clouds
372,Helena,US,46.5927,-112.0361,285.05,53,100,4.47,overcast clouds
373,Erdenet,MN,49.0333,104.0833,273.43,54,31,2.0,scattered clouds
374,Cam Ranh,VN,11.9214,109.1591,298.13,94,75,5.14,moderate rain
375,Maceio,BR,-9.6658,-35.7353,298.84,94,20,2.06,few clouds
376,Gunupur,IN,19.0833,83.8167,294.27,91,70,1.51,broken clouds
377,Ternate,ID,0.8,127.4,302.08,69,27,1.26,scattered clouds
378,Sheridan,US,44.8333,-106.9173,285.74,49,100,0.45,overcast clouds
379,Aykhal,RU,66.0,111.5,267.28,96,100,2.35,light snow
380,Ilulissat,GL,69.2167,-51.1,256.13,74,85,3.06,overcast clouds
381,Sume,BR,-7.6717,-36.88,296.97,65,84,6.18,broken clouds
382,Sibolga,ID,1.7427,98.7792,299.26,81,100,0.39,overcast clouds
383,Wewak,PG,-3.5534,143.6268,302.64,67,99,2.74,overcast clouds
384,Hofn,IS,64.2539,-15.2082,278.37,82,100,8.16,overcast clouds
385,Avera,US,33.194,-82.5271,292.99,55,100,1.86,overcast clouds
386,Lakki Marwat,PK,32.6079,70.9114,290.5,55,0,1.52,clear sky
387,Mitsamiouli,KM,-11.3847,43.2844,299.2,85,68,7.07,broken clouds
388,Krasnoarmeysk,RU,51.0239,45.6969,276.64,84,100,6.48,overcast clouds
389,Villa Carlos Paz,AR,-31.4241,-64.4978,293.74,39,0,0.89,clear sky
390,Komsomolskiy,UZ,40.4272,71.7189,277.83,60,0,3.09,clear sky
391,Forest Acres,US,34.0193,-80.9898,293.71,81,100,1.82,overcast clouds
392,Olovyannaya,RU,50.95,115.5667,276.08,70,16,5.06,few clouds
393,Pinyug,RU,60.251,47.7842,269.88,92,49,3.67,scattered clouds
394,Rumonge,BI,-3.9736,29.4386,297.01,68,100,0.68,overcast clouds
395,Werda,BW,-25.2667,23.2833,290.82,28,0,5.06,clear sky
396,San Quintin,MX,30.4833,-115.95,291.26,77,12,5.94,few clouds
397,Bichena,ET,10.45,38.2,282.78,57,8,1.66,clear sky
398,Saint Anthony,US,45.0205,-93.218,281.98,65,100,1.34,overcast clouds
399,Nichinan,JP,31.6,131.3667,289.97,89,100,5.27,overcast clouds
400,Harper,LR,4.375,-7.7169,298.44,82,100,3.29,overcast clouds
401,Beisfjord,NO,68.3751,17.5988,274.8,90,100,3.36,light snow
402,Lardos,GR,36.0942,28.0157,295.05,68,40,3.26,scattered clouds
403,Kunda,IN,25.7167,81.5167,294.94,71,0,0.84,clear sky
404,Russell,US,32.3502,-85.1999,293.13,86,100,2.22,overcast clouds
405,Santa Marinella,IT,42.0345,11.8536,289.09,75,100,3.12,overcast clouds
406,Zaozerne,UA,45.1582,33.2787,280.9,68,40,5.52,scattered clouds
407,Lamar,US,33.6668,-95.5836,298.96,76,1,3.56,clear sky
408,Brejo Santo,BR,-7.4933,-38.9872,303.28,64,5,0.69,clear sky
409,Nishihara,JP,26.1842,127.7558,298.75,69,40,4.63,scattered clouds
410,Ha Tinh,VN,18.3333,105.9,293.36,77,83,3.11,broken clouds
411,Gimli,CA,50.6336,-96.9907,279.16,65,17,3.6,few clouds
412,Charters Towers,AU,-20.1,146.2667,304.53,28,100,1.96,overcast clouds
413,Aquidauana,BR,-20.4711,-55.7872,294.38,84,100,2.1,overcast clouds
414,Kimbe,PG,-5.5502,150.1429,303.09,69,42,1.9,light rain
415,Road Town,VG,18.4167,-64.6167,301.04,76,42,8.03,scattered clouds
416,Padang,ID,-0.9492,100.3543,298.18,88,100,1.49,overcast clouds
417,Pestyaki,RU,56.7103,42.6717,271.92,79,21,4.85,few clouds
418,Kjollefjord,NO,70.9457,27.3465,270.68,80,17,3.86,few clouds
419,Ponta Do Sol,PT,32.6667,-17.1,294.1,66,57,3.07,broken clouds
420,Caravelas,BR,-17.7125,-39.2481,298.36,87,100,4.02,light rain
421,Canning,IN,22.3189,88.6714,298.16,84,5,1.28,clear sky
422,Samarai,PG,-10.6167,150.6667,301.82,71,12,5.57,few clouds
423,Agirish,RU,61.9247,63.0231,271.53,93,100,0.81,light snow
424,Bulaevo,KZ,54.9056,70.4439,282.41,56,100,7.43,overcast clouds
425,Okha,RU,53.5739,142.9478,279.52,82,44,4.74,scattered clouds
426,Kabinda,CD,-6.1333,24.4833,291.24,96,100,1.37,overcast clouds
427,Pangoa,PE,-12.1167,-73.0,296.67,87,100,1.17,overcast clouds
428,Vanavara,RU,60.34,102.2797,274.21,79,82,5.38,broken clouds
429,San Martin,AR,-33.081,-68.4681,297.45,18,0,3.8,clear sky
430,Pobe,BJ,6.9801,2.6649,296.34,92,10,2.04,clear sky
431,Santa Catalina,PH,9.3337,122.8637,301.92,73,67,0.45,broken clouds
432,Coihaique,CL,-45.5752,-72.0662,281.12,81,90,2.57,moderate rain
433,Karaton,ID,-6.3424,106.1045,303.13,71,22,0.7,few clouds
434,Buin,CL,-33.7333,-70.75,296.17,32,0,3.72,clear sky
435,Hami,CN,42.8,93.45,278.96,36,0,2.88,clear sky
436,Krasnokholm,RU,51.5979,54.1567,279.52,63,100,0.79,light rain
437,Knysna,ZA,-34.0363,23.0471,283.36,80,0,1.74,clear sky
438,Chuzhou,CN,32.3219,118.2978,288.74,69,100,1.1,overcast clouds
439,Zyryanovsk,KZ,49.7386,84.2719,273.06,75,17,0.56,few clouds
440,Lalibela,ET,12.0333,39.0333,286.43,48,12,2.91,few clouds
441,Terrace,CA,54.5163,-128.6035,283.1,57,90,7.2,overcast clouds
442,Vermillion,US,42.7794,-96.9292,279.52,79,100,4.65,overcast clouds
443,Juneau,US,58.3019,-134.4197,281.05,93,96,3.14,overcast clouds
444,Port Hardy,CA,50.6996,-127.4199,284.15,81,75,10.8,broken clouds
445,Varhaug,NO,58.6147,5.6457,283.65,92,100,8.42,overcast clouds
446,Uvarovo,RU,51.9849,42.2615,273.29,76,30,6.74,scattered clouds
447,Karratha,AU,-20.7377,116.8463,304.42,25,0,4.48,clear sky
448,Naryan-Mar,RU,67.6713,53.087,266.18,97,99,1.97,overcast clouds
449,Samarinda,ID,-0.5,117.15,300.37,82,100,1.6,overcast clouds
450,Cabedelo,BR,-6.9811,-34.8339,299.52,79,90,3.59,overcast clouds
451,Neiafu,TO,-18.65,-173.9833,300.53,57,75,5.14,broken clouds
452,Morwell,AU,-38.2333,146.4,289.21,76,86,1.31,overcast clouds
453,Vestmanna,FO,62.1564,-7.1664,281.66,100,90,8.75,overcast clouds
454,Artigas,UY,-30.4,-56.4667,287.3,49,0,1.5,clear sky
455,Takoradi,GH,4.8845,-1.7554,298.23,89,61,2.47,broken clouds
456,Litovko,RU,49.2361,135.1742,281.74,53,0,4.83,clear sky
457,Kieta,PG,-6.2167,155.6333,302.8,65,49,1.66,light rain
458,Osypenko,UA,46.9136,36.8253,280.28,85,9,4.53,clear sky
459,La Cruz,MX,23.9167,-106.9,298.93,85,0,2.41,clear sky
460,Hervey Bay,AU,-25.2986,152.8535,301.21,77,82,2.72,broken clouds
461,Cody,US,44.5263,-109.0565,284.49,49,100,1.34,overcast clouds
462,Abnub,EG,27.2696,31.1511,291.27,61,0,4.38,clear sky
463,General Pico,AR,-35.6566,-63.7568,291.11,25,0,4.87,clear sky
464,Safaga,EG,26.7292,33.9365,294.12,47,0,6.08,clear sky
465,Estelle,US,29.8458,-90.1067,299.26,74,0,0.89,clear sky
466,Athabasca,CA,54.7169,-113.2854,283.05,82,1,3.98,clear sky
467,Moa,CU,20.6569,-74.9403,299.57,85,49,4.73,scattered clouds
468,Uvinza,TZ,-5.1036,30.3911,295.06,74,100,0.75,overcast clouds
469,Paraiso,CR,9.8383,-83.8656,292.63,98,100,0.42,overcast clouds
470,Bardiyah,LY,31.7561,25.0865,294.4,69,18,2.71,few clouds
471,Tutoia,BR,-2.7619,-42.2744,300.42,77,5,5.23,clear sky
472,Sorkjosen,NO,69.8,20.9333,270.13,83,100,6.86,overcast clouds
473,Xuddur,SO,4.1213,43.8894,295.32,90,12,5.94,few clouds
474,Kuching,MY,1.55,110.3333,301.27,83,20,1.54,few clouds
475,Latung,PH,5.5,120.8833,301.04,75,32,2.4,scattered clouds
476,Auki,SB,-8.7676,160.7034,302.18,73,38,1.37,scattered clouds
477,San Javier,ES,37.8063,-0.8374,289.89,82,0,1.54,clear sky
478,Fougamou,GA,-1.2154,10.5838,296.32,99,90,0.76,overcast clouds
479,Campbell River,CA,50.0163,-125.2446,283.89,87,90,1.34,overcast clouds
480,Altamirano,MX,16.8833,-92.15,288.91,97,87,1.07,overcast clouds
481,Aktash,RU,50.3,87.7333,265.67,82,14,1.82,few clouds
482,San Carlos De Bariloche,AR,-41.1456,-71.3082,284.01,50,40,23.66,dust
483,Raton,US,36.9034,-104.4391,284.85,30,9,0.7,clear sky
484,Chernushka,RU,56.5072,56.0766,276.12,84,100,3.27,overcast clouds
485,Mahibadhoo,MV,3.7833,72.9667,301.52,69,22,5.87,few clouds
486,Neuquen,AR,-38.9516,-68.0591,294.09,28,0,12.35,clear sky
487,Shimoda,JP,34.6667,138.95,291.21,65,100,6.17,overcast clouds
488,Mumbwa,ZM,-14.9783,27.0619,296.05,46,93,1.87,overcast clouds
489,Misratah,LY,32.3754,15.0925,295.66,77,0,4.38,clear sky
490,Arcachon,FR,44.5875,-1.0519,285.18,94,0,1.03,clear sky
491,Prince Rupert,CA,54.3161,-130.3201,286.98,40,100,8.75,overcast clouds
492,Jahazpur,IN,25.6167,75.2833,295.29,66,53,0.72,broken clouds
493,Balykshi,KZ,47.0667,51.8667,283.15,81,40,5.0,mist
494,Bulawayo,ZW,-20.15,28.5833,288.71,85,48,6.52,scattered clouds
495,Zabol,AF,32.25,67.25,279.92,21,0,2.14,clear sky
496,Northam,GB,51.0333,-4.2167,287.05,94,22,6.4,moderate rain
497,Dabat,ET,12.9842,37.765,285.31,62,36,2.16,scattered clouds
498,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,293.35,91,100,0.84,overcast clouds
499,Lilongwe,MW,-13.9669,33.7873,296.33,42,21,2.57,few clouds
500,Dalvik,IS,65.9702,-18.5286,277.11,99,100,6.2,overcast clouds
501,Hualmay,PE,-11.0964,-77.6139,290.55,80,46,4.61,scattered clouds
502,Ca Mau,VN,9.1769,105.15,299.3,88,100,1.96,overcast clouds
503,Joensuu,FI,62.6012,29.7632,273.42,89,90,1.34,light snow
504,Quatre Cocos,MU,-20.2078,57.7625,296.53,75,92,6.88,overcast clouds
505,Chateau-Gontier,FR,47.8333,-0.7,286.55,94,100,2.88,overcast clouds
506,Verkhnevilyuysk,RU,63.4453,120.3167,273.4,96,100,1.97,overcast clouds
507,Zonguldak,TR,41.25,31.8333,280.12,82,93,1.15,overcast clouds
508,Sungai Udang,MY,2.269,102.1427,299.08,88,20,0.0,few clouds
509,Muroto,JP,33.2833,134.15,287.17,90,100,7.8,overcast clouds
510,Bennington,US,42.8781,-73.1968,282.27,74,76,1.6,broken clouds
511,Liberty,US,31.8335,-81.5004,295.94,91,100,1.34,overcast clouds
512,Awbari,LY,26.5921,12.7805,296.91,38,71,2.97,broken clouds
513,Rio Grande,BR,-32.035,-52.0986,284.79,70,0,3.68,clear sky
514,Mocuba,MZ,-16.8392,36.9856,296.79,75,0,2.12,clear sky
515,Peace River,CA,56.2501,-117.286,280.32,93,75,6.17,broken clouds
516,Kurikka,FI,62.6167,22.4167,278.07,95,100,4.02,overcast clouds
517,Luwuk,ID,-0.9516,122.7875,303.47,58,28,1.46,scattered clouds
518,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,298.13,78,13,4.28,few clouds
519,Krasnoselkup,RU,65.7,82.4667,268.26,92,100,9.27,overcast clouds
520,Tondol,PH,16.3104,120.0131,301.1,72,100,5.22,overcast clouds
521,Nanortalik,GL,60.1432,-45.2371,273.61,89,98,3.37,overcast clouds
522,Erzin,TR,36.9559,36.2,285.44,74,0,1.08,clear sky
523,Berdigestyakh,RU,62.0989,126.6992,273.27,96,100,3.2,light snow
524,Maniitsoq,GL,65.4167,-52.9,268.51,54,2,3.47,clear sky
525,Roma,US,43.2128,-75.4557,285.28,82,100,2.2,overcast clouds
526,Dossor,KZ,47.5272,52.9811,284.02,43,100,2.3,overcast clouds
527,Progreso,MX,21.2833,-89.6667,300.35,84,45,3.79,scattered clouds
528,Gorin,RU,51.1983,136.6669,278.6,71,0,2.66,clear sky
529,Sulangan,PH,11.1373,123.7228,301.07,77,24,1.03,few clouds
530,Kupang,ID,-10.1667,123.5833,304.47,62,20,2.06,few clouds
531,Kenora,CA,49.8167,-94.4337,277.14,80,40,4.12,scattered clouds
532,Cap Malheureux,MU,-19.9842,57.6142,296.74,72,89,2.68,overcast clouds
533,Sena Madureira,BR,-9.0656,-68.6569,298.3,85,73,0.35,broken clouds
534,Noumea,NC,-22.2763,166.4572,300.37,99,45,7.08,scattered clouds
535,Kushima,JP,31.4583,131.2333,290.17,90,100,3.0,overcast clouds
536,Huadian,CN,42.9633,126.7478,282.11,58,0,1.59,clear sky
537,Razdolinsk,RU,58.4211,94.6658,275.66,85,100,4.41,overcast clouds
538,Urucara,BR,-2.5364,-57.76,297.75,92,35,0.84,scattered clouds
539,Dangriga,BZ,16.9692,-88.2321,302.03,85,64,3.81,broken clouds
540,Klyuchi,RU,52.2667,79.1667,278.64,63,70,5.05,broken clouds
541,Bowen,AU,-20.0167,148.2333,304.27,62,16,4.7,few clouds
542,The Valley,AI,18.217,-63.0578,301.07,75,16,7.79,few clouds
543,Olafsvik,IS,64.8945,-23.7142,278.88,89,100,9.38,overcast clouds
544,Evensk,RU,61.95,159.2333,262.04,72,100,1.17,overcast clouds
545,Ancud,CL,-41.8697,-73.8203,285.61,85,100,8.34,overcast clouds
546,Melilli,IT,37.1796,15.1255,291.17,83,100,2.88,light rain
547,Chlorakas,CY,34.8042,32.4083,289.64,67,0,2.57,clear sky
548,Ukiah,US,39.1502,-123.2078,286.55,94,90,0.0,moderate rain
549,Saint-Pierre,RE,-21.3393,55.4781,294.97,77,40,3.09,scattered clouds
550,Hinton,CA,53.4001,-117.5857,281.17,75,100,3.64,overcast clouds
551,Sinnamary,GF,5.3833,-52.95,298.76,91,100,4.64,moderate rain
552,Griffith,US,41.5284,-87.4237,283.15,95,90,1.79,thunderstorm with rain
553,Vievis,LT,54.7667,24.8,274.76,91,13,3.02,few clouds
554,Goya,AR,-29.14,-59.2626,289.59,44,0,1.34,clear sky
555,Iskateley,RU,67.6803,53.1512,265.99,97,100,1.91,overcast clouds
556,Taltal,CL,-25.4,-70.4833,288.84,78,22,1.3,few clouds
557,Kloulklubed,PW,7.0419,134.2556,301.83,72,98,3.8,overcast clouds
558,Clearwater,US,27.9659,-82.8001,299.79,87,90,1.79,overcast clouds
559,Sarangani,PH,5.4033,125.4636,301.51,70,100,1.0,overcast clouds
560,Puerto Ayacucho,VE,5.6639,-67.6236,298.58,88,100,1.14,overcast clouds
561,Arnhem,NL,51.9667,5.9,280.91,93,0,3.58,clear sky
562,Daudnagar,IN,25.0333,84.4,294.22,76,5,1.3,clear sky
563,Natitingou,BJ,10.3042,1.3796,296.62,76,82,0.82,broken clouds
564,Lazaro Cardenas,MX,17.9583,-102.2,298.27,93,100,2.58,moderate rain
565,Mopti,ML,14.6667,-4.0,303.66,45,46,4.61,scattered clouds
566,Bauchi,NG,10.5,10.0,296.74,49,97,1.32,overcast clouds
567,Stabat,ID,3.761,98.4513,298.26,85,99,1.15,overcast clouds
568,Poum,NC,-20.2333,164.0167,297.68,69,6,4.57,clear sky
569,Perm,RU,58.0174,56.2855,275.85,93,90,5.0,overcast clouds
570,Sur,OM,22.5667,59.5289,299.94,61,6,5.17,clear sky
571,Smithers,CA,54.7804,-127.1743,277.55,92,100,0.99,overcast clouds
572,Chicama,PE,-7.8447,-79.1469,291.98,78,41,3.04,scattered clouds
573,Monywa,MM,22.1167,95.1333,297.4,88,14,1.38,few clouds
574,Puerto Escondido,MX,15.85,-97.0667,299.66,86,93,2.09,overcast clouds
575,Lentvaris,LT,54.65,25.05,272.65,94,0,2.57,clear sky
576,Yellandu,IN,17.6,80.3333,293.56,77,100,0.76,overcast clouds
577,Alta Floresta,BR,-9.8756,-56.0861,295.49,96,93,1.81,light rain
578,Thyolo,MW,-16.0678,35.1405,293.16,65,2,1.15,clear sky
579,Riberalta,BO,-10.9833,-66.1,294.74,96,100,3.33,heavy intensity rain
580,Mahajanga,MG,-15.7167,46.3167,298.63,80,49,2.31,scattered clouds
581,Estevan,CA,49.1334,-102.9842,277.34,95,100,5.53,overcast clouds
582,Guanaja,HN,16.4,-85.9,302.04,82,91,11.8,overcast clouds
583,Dongzhen,CN,22.3797,110.9389,293.81,68,0,2.08,clear sky
584,Mugur-Aksy,RU,50.35,90.5,266.11,84,40,2.46,scattered clouds
585,Peniche,PT,39.3558,-9.3811,289.6,93,53,2.98,broken clouds
586,Lircay,PE,-12.9896,-74.7205,286.45,60,82,0.73,broken clouds
587,Ust-Kuyga,RU,70.0167,135.6,257.68,95,100,1.24,overcast clouds
588,Muzhi,RU,65.3667,64.6667,269.15,83,100,2.19,overcast clouds
589,Juegang,CN,32.3174,121.1855,290.36,60,27,3.16,scattered clouds
590,Mzimba,MW,-11.9,33.6,293.71,48,100,5.46,overcast clouds
591,Pochutla,MX,15.7432,-96.4661,300.27,89,100,2.16,overcast clouds
592,San Antonio,US,29.4241,-98.4936,300.71,77,0,2.52,clear sky
593,Ningxiang,CN,37.34,111.2052,283.09,59,61,0.59,broken clouds
594,Carsamba,TR,41.1989,36.7219,285.25,79,100,3.37,light rain
595,Mulege,MX,26.8833,-111.9833,298.0,61,0,1.97,clear sky
596,Colonial Park,US,40.3006,-76.8097,287.86,80,100,1.79,overcast clouds
597,Mount Darwin,ZW,-16.7725,31.5838,296.38,61,14,3.59,few clouds
598,Mayo,US,38.8876,-76.5119,291.79,87,0,0.89,clear sky
599,Bereda,ES,43.2686,-7.5406,284.01,99,66,0.87,broken clouds
600,La Palma,US,33.8464,-118.0467,296.16,71,8,1.79,clear sky
601,Lovozero,RU,68.005,35.0117,267.13,88,61,2.96,broken clouds
602,Manuk Mangkaw,PH,4.8,119.85,301.23,75,27,1.86,scattered clouds
603,Tromso,NO,69.6496,18.957,273.92,74,0,1.54,clear sky
604,Tsumeb,NA,-19.2333,17.7167,297.31,14,4,3.86,clear sky
605,Zabid,YE,14.1951,43.3152,301.59,64,6,1.16,clear sky
606,Macia,MZ,-25.0269,33.0989,291.87,87,100,5.23,light rain
607,Rio Gallegos,AR,-51.6226,-69.2181,277.59,58,100,8.8,overcast clouds
608,Gizo,SB,-8.103,156.8419,302.13,71,66,2.08,light rain
609,Dharangaon,IN,21.0167,75.2667,294.46,62,0,1.67,clear sky
610,Ambunti,PG,-4.2365,142.8448,304.04,62,99,0.87,overcast clouds
611,Fort Nelson,CA,58.8053,-122.7002,275.94,79,0,1.29,clear sky
612,Liuli,TZ,-11.0833,34.6333,299.72,54,98,1.7,overcast clouds
613,San Jose,US,37.3394,-121.895,291.38,84,100,0.45,light rain
614,Mahroni,IN,24.5862,78.7288,294.27,60,30,0.99,scattered clouds
615,Monrovia,LR,6.3005,-10.7969,297.17,94,100,2.52,heavy intensity rain
616,Leh,IN,34.1667,77.5833,270.35,87,76,1.8,broken clouds
617,Santiago Del Estero,AR,-27.7951,-64.2615,294.15,24,0,4.16,clear sky
618,Jiangkou,CN,25.4872,119.1986,292.98,69,100,4.3,overcast clouds
619,Bud,US,39.447,-86.1758,294.65,87,8,8.23,clear sky
620,Nangomba,TZ,-10.9,38.5,295.73,86,61,1.13,broken clouds
621,Buala,SB,-8.145,159.5921,302.64,69,42,0.56,light rain
622,Areosa,PT,41.7178,-8.8571,289.77,86,18,0.81,few clouds
623,Igarka,RU,67.4667,86.5833,268.37,93,98,6.33,overcast clouds
624,Cupira,BR,-8.6167,-35.95,292.61,95,81,1.84,broken clouds
625,Kahama,TZ,-3.8333,32.6,296.63,63,84,2.21,broken clouds
626,Chapais,CA,49.7834,-74.8492,272.21,81,23,1.82,few clouds
627,Conakry,GN,9.538,-13.6773,295.57,77,100,2.3,overcast clouds
628,Olavarria,AR,-36.8927,-60.3225,292.05,49,0,6.7,clear sky
629,Kutum,SD,14.2,24.6667,295.95,27,7,4.12,clear sky
630,Mwanza,TZ,-2.5167,32.9,297.67,66,100,1.5,overcast clouds
631,Saquena,PE,-4.6667,-73.5167,299.2,80,100,1.08,overcast clouds
632,Bulgan,MN,48.8125,103.5347,274.39,55,8,2.02,clear sky
633,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,297.28,95,96,0.93,overcast clouds
634,Qasigiannguit,GL,68.8193,-51.1922,256.5,83,76,2.71,broken clouds
635,Kitimat,CA,54.0524,-128.6534,283.1,66,100,3.09,overcast clouds
636,Missoula,US,47.0166,-113.8009,278.76,72,100,1.53,light rain
637,Flin Flon,CA,54.7682,-101.865,276.05,77,5,4.56,clear sky
638,Cognac,FR,45.5,-0.25,284.84,81,90,2.06,overcast clouds
639,Karabulak,RU,43.3036,44.8964,282.7,83,100,2.14,overcast clouds
640,Bhandara,IN,21.1667,79.65,292.48,76,9,1.31,clear sky
641,Yulara,AU,-25.2406,130.9889,301.28,22,0,7.8,clear sky
642,Pangkalanbuun,ID,-2.6833,111.6167,302.85,68,24,0.42,light rain
643,Cockburn Town,TC,21.4612,-71.1419,300.13,74,40,4.63,scattered clouds
644,Samoylovka,RU,51.184,43.7081,274.7,87,78,6.04,light rain
645,Carbonia,IT,39.1672,8.5222,289.51,82,100,2.3,overcast clouds
646,Horta,PT,38.5333,-28.6333,291.51,73,9,1.31,clear sky
647,Muisne,EC,0.6,-80.0333,297.65,86,100,3.45,light rain
648,Toora-Khem,RU,52.4675,96.11,271.79,85,83,1.38,broken clouds
649,Ocumare Del Tuy,VE,10.1165,-66.7761,294.95,97,85,1.4,overcast clouds
650,Vieste,IT,41.8825,16.175,288.89,58,34,2.88,scattered clouds
651,Kpalime,TG,6.9,0.6333,295.65,96,7,0.61,clear sky
652,Umea,SE,63.8284,20.2597,276.43,100,90,1.03,overcast clouds
653,Kununurra,AU,-15.7667,128.7333,305.14,55,70,1.54,broken clouds
654,Killybegs,IE,54.6333,-8.45,283.33,77,25,9.7,scattered clouds
655,Plettenberg Bay,ZA,-34.0527,23.3716,284.98,78,0,1.59,clear sky
656,Koungheul,SN,13.9833,-14.8,300.6,71,76,2.72,broken clouds
657,Otradnoye,RU,59.7775,30.8181,275.39,82,100,4.28,light snow
658,Bondo,CD,3.8146,23.6866,292.98,99,100,0.42,overcast clouds
659,Ostrovnoy,RU,68.0531,39.5131,274.28,67,99,6.92,light rain
660,Shumyachi,RU,53.8583,32.4242,271.55,89,9,2.1,clear sky
661,Mbamba,NG,9.9833,13.1,296.77,57,41,0.47,scattered clouds
662,Andros Town,BS,24.7,-77.7667,300.84,77,100,5.01,overcast clouds
663,Alekseyevsk,RU,57.8406,108.3492,277.16,91,100,5.6,overcast clouds
664,Yar-Sale,RU,66.8333,70.8333,267.75,80,18,5.91,few clouds
665,Regina,CA,50.4501,-104.6178,277.15,91,90,8.23,mist
666,Roald,NO,62.5833,6.1333,284.23,82,90,3.09,overcast clouds
667,Isoka,ZM,-10.1606,32.6335,292.78,47,26,0.73,scattered clouds
668,Ulaanbaatar,MN,47.9077,106.8832,269.22,68,0,1.0,clear sky
669,Moosomin,CA,50.1333,-101.6677,275.17,96,100,5.79,overcast clouds
670,Winnemucca,US,40.973,-117.7357,283.77,89,100,3.66,light rain
671,Jaque,PA,7.5175,-78.1703,299.02,85,88,0.34,overcast clouds
672,Nayudupeta,IN,13.9,79.9,298.64,83,100,1.48,overcast clouds
673,Saint Leonard,CA,47.173,-67.9247,278.62,77,20,4.78,few clouds
674,Bandar,ID,2.05,99.75,298.34,87,72,0.37,broken clouds
675,Port Shepstone,ZA,-30.7414,30.455,289.75,75,81,2.97,broken clouds
676,Kosice,SK,48.6667,21.3333,273.73,95,0,0.51,clear sky
677,Ketchikan,US,55.3422,-131.6461,280.57,81,100,2.58,overcast clouds
678,Kalmunai,LK,7.4167,81.8167,298.54,84,83,3.93,broken clouds
679,Cartagena Del Chaira,CO,1.3349,-74.8429,297.82,83,90,1.51,overcast clouds
680,Richards Bay,ZA,-28.783,32.0377,290.5,69,84,1.5,broken clouds
681,Nador,MA,35.174,-2.9287,290.29,88,40,1.54,scattered clouds
682,Lubu,CN,23.1742,112.2809,293.03,62,0,1.47,clear sky
683,Lagoa,PT,39.05,-27.9833,292.11,73,54,3.16,broken clouds
684,Mabaruma,GY,8.2,-59.7833,296.81,98,100,1.25,overcast clouds
685,Merrill,US,45.1805,-89.6835,280.14,66,1,2.06,clear sky
686,Impfondo,CG,1.6381,18.0667,294.68,88,100,0.61,overcast clouds
687,Rangpur,BD,25.75,89.25,295.41,84,2,1.45,clear sky
688,San Miguelito,PA,9.0333,-79.5,301.23,80,100,1.84,overcast clouds
689,Karmala,IN,18.4167,75.2,294.61,70,0,2.53,clear sky
690,Ahuimanu,US,21.4447,-157.8378,300.67,75,36,8.22,scattered clouds
691,Mandi,IN,31.7167,76.9167,283.66,54,0,2.72,clear sky
692,Umm Kaddadah,SD,13.6017,26.6876,300.84,22,6,8.15,clear sky
693,Karakol,KG,42.4907,78.3936,272.84,46,0,1.59,clear sky
